m_mistrust,credences
3,"[[0.0, 0.9999999999742418], [0.0, 0.9999999991450989], [0.0, 0.9999999999996545], [0.0, 2.349507671529093e-23], [0.0, 0.9999999999849365], [0.0, 0.99999999999815], [0.0, 0.9999999999970791], [0.0, 0.9999999999977421], [0.0, 0.9999999999998416], [0.0, 0.999999999885625], [1.0, 3.2594534393928694e-24], [1.0, 6.612585308135873e-25], [1.0, 0.9999999999999998], [1.0, 0.9999999999998901], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 1.611903366068806e-26], [1.0, 8.852486612874725e-26], [1.0, 1.41197623096309e-27], [1.0, 0.9999999999999998]]"
4,"[[0.0, 3.0477833599089376e-55], [0.0, 1.9606475802789882e-59], [0.0, 1.0], [0.0, 3.962354932362294e-61], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 7.119322214767064e-68], [1.0, 1.1845373064442975e-68], [1.0, 1.0], [1.0, 1.186495049354634e-64], [1.0, 1.0], [1.0, 1.0], [1.0, 4.297252613883202e-70], [1.0, 3.7246672345225474e-69], [1.0, 2.225427183189018e-71], [1.0, 1.0]]"
0.1,"[[0.0, 0.9999999999658058], [0.0, 0.9999999998932027], [0.0, 0.9999999999661798], [0.0, 0.9999999999311201], [0.0, 0.9999999997402786], [0.0, 0.9999999999509962], [0.0, 0.9999999999844951], [0.0, 0.9999999996991126], [0.0, 0.9999999998656759], [0.0, 0.9999999996733249], [1.0, 0.999999999983052], [1.0, 0.9999999999750054], [1.0, 0.9999999999445134], [1.0, 0.9999999996513029], [1.0, 0.9999999999993469], [1.0, 0.9999999999050118], [1.0, 0.9999999999768566], [1.0, 0.9999999999857517], [1.0, 0.9999999999625628], [1.0, 0.999999999994695]]"
3,"[[0.0, 0.9999944130198255], [0.0, 0.999998076378413], [0.0, 0.9993514604315558], [0.0, 0.9999334636412351], [0.0, 0.9995063148040335], [0.0, 0.9999910223225429], [0.0, 0.9996125439977215], [0.0, 5.63113212459887e-05], [0.0, 4.139338884231962e-05], [0.0, 0.0002633261071092778], [1.0, 0.9999999933393924], [1.0, 3.923925394945389e-15], [1.0, 0.9999999999041719], [1.0, 0.9999999627748493], [1.0, 2.837477753170627e-20], [1.0, 0.9999999938187171], [1.0, 7.437015604788714e-21], [1.0, 3.239555365456674e-17], [1.0, 0.9999999996896577], [1.0, 0.9999999962131584]]"
4,"[[0.0, 0.9999999999995315], [0.0, 0.999999999999843], [0.0, 0.9999999999457068], [0.0, 0.9999999999945124], [0.0, 0.9999999999293152], [0.0, 0.9999999999992122], [0.0, 0.9999999999502254], [0.0, 2.8550593842648787e-13], [0.0, 4.6201869461131204e-14], [0.0, 6.588341030998334e-11], [1.0, 1.0], [1.0, 1.8457718879669684e-48], [1.0, 1.0], [1.0, 1.0], [1.0, 4.484771799278383e-50], [1.0, 1.0], [1.0, 1.7984909725124464e-50], [1.0, 5.682261824080379e-49], [1.0, 1.0], [1.0, 1.0]]"
1,"[[0.0, 0.9999999967014915], [0.0, 0.9999999964765183], [0.0, 0.9999999988186354], [0.0, 0.9999999964315458], [0.0, 0.999999998121134], [0.0, 0.999999926000151], [0.0, 0.9999999337357095], [0.0, 0.9999995428494155], [0.0, 0.999999960428863], [0.0, 0.9999999737964007], [1.0, 0.999999939531054], [1.0, 0.9999999965679074], [1.0, 0.9999999039731947], [1.0, 0.9999999721052503], [1.0, 0.9999999372209515], [1.0, 0.9999999520865356], [1.0, 0.9999999685762286], [1.0, 0.999999955672672], [1.0, 0.9999999702403953], [1.0, 0.9999999700040654]]"
2,"[[0.0, 1.0], [0.0, 1.0], [0.0, 0.9999999999998928], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 0.9999999999998459], [0.0, 0.9999999999998259], [0.0, 0.9999999999984915], [0.0, 1.0], [1.0, 0.9999999999999937], [1.0, 0.9999999999999114], [1.0, 0.9999999999999925], [1.0, 0.9999999999106489], [1.0, 0.9999999999999963], [1.0, 0.021843051731552002], [1.0, 0.9999999999992315], [1.0, 0.9999999999999947], [1.0, 0.9999999999999987], [1.0, 0.9999999999999978]]"
3,"[[0.0, 4.636746977089136e-20], [0.0, 1.0], [0.0, 0.9999999999999998], [0.0, 0.9999999999999998], [0.0, 3.11965356817279e-17], [0.0, 0.9999999999999998], [0.0, 0.9999999999999998], [0.0, 1.0], [0.0, 0.9999999999999998], [0.0, 1.0], [1.0, 1.802720092436093e-10], [1.0, 0.9999999997527023], [1.0, 1.3170974266591902e-11], [1.0, 7.586633759964706e-12], [1.0, 0.9999999999994165], [1.0, 7.636101750870576e-17], [1.0, 0.9999999999988539], [1.0, 0.9999999999983503], [1.0, 0.9999999999922365], [1.0, 4.484283014127996e-22]]"
4,"[[0.0, 4.6446701087687984e-55], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.2254136315825661e-52], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.9999999999999976], [1.0, 0.9999999999999998], [1.0, 0.9999999999999883], [1.0, 0.999999999999967], [1.0, 0.9999999999999998], [1.0, 5.531458514111558e-36], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 1.7474178393993198e-51]]"
3,"[[0.0, 0.9999999999991982], [0.0, 0.9999999999992093], [0.0, 0.9999999999995389], [0.0, 0.9999999999996367], [0.0, 0.9999999999995003], [0.0, 0.9999999999996546], [0.0, 0.9999999999992443], [0.0, 0.9999999999995903], [0.0, 0.9999999999999359], [0.0, 0.9999999999998742], [1.0, 0.9999999999993087], [1.0, 0.9999999999954668], [1.0, 0.999999997328238], [1.0, 0.9999999999987993], [1.0, 0.9999999999999214], [1.0, 0.9999999999998835], [1.0, 0.9999999999999234], [1.0, 0.9999999999994945], [1.0, 0.9999999999999306], [1.0, 0.9999999999999748]]"
