0.01,50,10,5,[[0.0, 0.3103127750753508], [0.0, 0.3858368884954759], [0.0, 0.4992869744283454], [0.0, 6.398042533126525e-13], [0.0, 0.9945915703716847], [1.0, 7.689702643189372e-38], [1.0, 0.9902073233434949], [1.0, 9.138909184658463e-12], [1.0, 0.45464659238751964], [1.0, 0.49511651310734406]]
0.01,50,10,5,[[0.0, 5.25724139882239e-61], [0.0, 0.997196114790683], [0.0, 8.126137339435147e-36], [0.0, 0.9997635305441778], [0.0, 1.935565620685889e-21], [1.0, 0.23619415758593276], [1.0, 1.345278928510685e-19], [1.0, 0.9997929967336077], [1.0, 0.9999833300230195], [1.0, 0.991522249080659]]
0.01,50,10,1,[[0.0, 0.9999812535575637], [0.0, 0.9999998899101782], [0.0, 0.9999989223238609], [0.0, 0.9961620880027111], [0.0, 0.9966910022172867], [1.0, 0.9990542166535901], [1.0, 0.9971674823052638], [1.0, 0.990847842514518], [1.0, 0.9975885554608479], [1.0, 0.9901816866312304]]
0.01,50,10,3,[[0.0, 0.9999998084191394], [0.0, 0.9999490183839316], [0.0, 0.9903990394033346], [0.0, 0.999988619798696], [0.0, 0.9999983826071078], [1.0, 2.5701821064260183e-28], [1.0, 0.9999999037345899], [1.0, 0.9999998773656138], [1.0, 0.9999632548166842], [1.0, 1.0516961436650289e-19]]
0.01,50,10,1,[[0.0, 0.9946561075434214], [0.0, 0.9906651023475334], [0.0, 0.9977893003356686], [0.0, 0.9997295262661446], [0.0, 0.9959381464613527], [1.0, 0.9946222466737467], [1.0, 0.9999959754411355], [1.0, 0.9973669214188744], [1.0, 0.4702066266903806], [1.0, 0.47580486364583086]]
0.01,50,10,3,[[0.0, 0.9999157919245194], [0.0, 0.9993905441028557], [0.0, 0.9999987100058904], [0.0, 0.9989031859257725], [0.0, 0.9999913182207624], [1.0, 0.9999258806151132], [1.0, 0.990421616301511], [1.0, 0.3601178252270129], [1.0, 0.218509149584377], [1.0, 8.253319798110453e-10]]
0.01,50,10,4,[[0.0, 0.9999999999999676], [0.0, 0.9999999686743553], [0.0, 1.6129023912374779e-34], [0.0, 0.9999999510456655], [0.0, 0.9999999798356386], [1.0, 4.400289521133947e-52], [1.0, 1.2427695680946214e-18], [1.0, 0.9999999540392707], [1.0, 0.9930017372682467], [1.0, 0.9999999999999933]]
0.01,50,10,5,[[0.0, 2.4035160849973246e-113], [0.0, 0.9939453456124885], [0.0, 0.9998648813257393], [0.0, 2.7227741698631225e-52], [0.0, 0.9999999999999982], [1.0, 0.9999999999999982], [1.0, 1.865853246874185e-50], [1.0, 0.9998632346060916], [1.0, 0.9999999999881357], [1.0, 0.9999999970157855]]
0.01,50,10,4,[[0.0, 1.8512360292527978e-43], [0.0, 0.9908070087365413], [0.0, 0.9999957777309081], [0.0, 1.169804398950264e-24], [0.0, 0.9999999999999887], [1.0, 0.9999999999999692], [1.0, 3.555669573839259e-33], [1.0, 0.9999961120497528], [1.0, 0.999999984021721], [1.0, 0.9999902421742939]]
0.01,50,10,3,[[0.0, 4.882561732966063e-18], [0.0, 0.19940086726903672], [0.0, 2.3992662625069977e-05], [0.0, 0.9990518351495126], [0.0, 3.1977679499689557e-12], [1.0, 0.9960690718281189], [1.0, 0.9907981580894211], [1.0, 0.998478532253605], [1.0, 0.9999939346578706], [1.0, 0.9999941896147987]]
0.01,50,10,3,[[0.0, 0.44695178764149024], [0.0, 0.49815612838967244], [0.0, 0.14151326669285658], [0.0, 0.3302241480609205], [0.0, 3.2942373241912896e-08], [1.0, 0.9999901653788891], [1.0, 0.9999626001829041], [1.0, 0.9999742917937644], [1.0, 0.9907173472150842], [1.0, 0.4918294765087865]]
