m_mistrust;agent_0;agent_1;agent_2;agent_3;agent_4;agent_5;agent_6;agent_7;agent_8;agent_9;agent_10;agent_11;agent_12;agent_13;agent_14;agent_15;agent_16;agent_17;agent_18;agent_19
0.75;[0.0, 0.9999996264679507];[0.0, 0.9999999071574128];[0.0, 0.9999996776150794];[0.0, 0.999999663818621];[0.0, 0.9999996856101483];[0.0, 0.999999560935649];[0.0, 0.9999997944045762];[0.0, 0.9999998334968843];[0.0, 0.9999999695836883];[0.0, 0.9999997147419686];[1.0, 0.9996672429528627];[1.0, 0.9990966723017624];[1.0, 0.9989868854469587];[1.0, 0.9998114789610679];[1.0, 0.9995095438940793];[1.0, 0.9997876308203991];[1.0, 0.9986311608229864];[1.0, 0.9992157951959054];[1.0, 0.999501277945491];[1.0, 0.9981238708725891]
0.75;[0.0, 0.9999917862433089];[0.0, 0.9999972707644728];[0.0, 0.9999948186837032];[0.0, 0.9991362174154605];[0.0, 0.9998187230926712];[0.0, 0.9999378674212609];[0.0, 0.9998912265868451];[0.0, 0.9999241135986963];[0.0, 0.9999384522005152];[0.0, 0.9995565061026651];[1.0, 0.9999995862763684];[1.0, 0.9999999893390067];[1.0, 0.999999545661109];[1.0, 0.9999998926771745];[1.0, 0.9999995571068948];[1.0, 0.9999996304023955];[1.0, 0.9999998982431878];[1.0, 0.9999993787189276];[1.0, 0.9999998940899825];[1.0, 0.9999998567613413]
0.75;[0.0, 0.9999837897896716];[0.0, 0.9999987860079074];[0.0, 0.9995920856906898];[0.0, 0.9999919657118168];[0.0, 0.9997067733121732];[0.0, 0.9984877203346764];[0.0, 0.9999425514687137];[0.0, 0.9980769392539046];[0.0, 0.998817883932307];[0.0, 0.9994534975234011];[1.0, 0.9999683420346588];[1.0, 0.999960697827471];[1.0, 0.999942748658654];[1.0, 0.9998962464650798];[1.0, 0.9998996466565159];[1.0, 0.9999044604579959];[1.0, 0.9999275693073734];[1.0, 0.9999299199483503];[1.0, 0.9999442357464964];[1.0, 0.9999474306960012]
0.75;[0.0, 0.99998977008306];[0.0, 0.9999940134304092];[0.0, 0.9999885560035535];[0.0, 0.9999908013788237];[0.0, 0.9999959104376863];[0.0, 0.9999937767712154];[0.0, 0.9999920422446794];[0.0, 0.9999974121660131];[0.0, 0.9999890289352179];[0.0, 0.9999864316541703];[1.0, 0.9999999485709591];[1.0, 0.999999466821368];[1.0, 0.99999958479717];[1.0, 0.9999992710614987];[1.0, 0.9999998247849421];[1.0, 0.9999999493994047];[1.0, 0.9999999220329022];[1.0, 0.999999778084979];[1.0, 0.9999996873249904];[1.0, 0.9999994857167354]
0.75;[0.0, 0.9999999419435757];[0.0, 0.9999999375120536];[0.0, 0.9999999653102554];[0.0, 0.9999999558952211];[0.0, 0.9999999913871654];[0.0, 0.9999999050816335];[0.0, 0.9999999572197252];[0.0, 0.9999999504030705];[0.0, 0.9999999572034952];[0.0, 0.9999999567224254];[1.0, 0.9999993423401501];[1.0, 0.9999999651941075];[1.0, 0.9999989518588762];[1.0, 0.9999990336920099];[1.0, 0.9999999960526299];[1.0, 0.9999984491567641];[1.0, 0.9999998945401225];[1.0, 0.9999993003389086];[1.0, 0.9999990942909155];[1.0, 0.9999983071058332]
1.0;[0.0, 0.9999998762123861];[0.0, 0.9999685880119547];[0.0, 0.9999999552199463];[0.0, 0.9999980276355378];[0.0, 0.9999787283349733];[0.0, 0.9999996347054156];[0.0, 0.9999752275859927];[0.0, 0.9999993007442298];[0.0, 0.999969927922872];[0.0, 0.9999493400150998];[1.0, 0.999748943471904];[1.0, 0.9985314517143228];[1.0, 0.998900755545425];[1.0, 0.999286056844873];[1.0, 0.997688583553271];[1.0, 0.9979688281788771];[1.0, 0.9971861375339026];[1.0, 0.9967015540827361];[1.0, 0.997847924877627];[1.0, 0.9989421411028386]
1.0;[0.0, 0.9993755038731894];[0.0, 0.9993235301642607];[0.0, 0.9993966291833272];[0.0, 0.9997190404537633];[0.0, 0.9994825355295942];[0.0, 0.9965300775969524];[0.0, 0.9997712263583565];[0.0, 0.9986730165993726];[0.0, 0.9931660133622302];[0.0, 0.9982583396411244];[1.0, 0.999830807909658];[1.0, 0.9996330997685392];[1.0, 0.9997186152456754];[1.0, 0.9998853404610742];[1.0, 0.9996495853063662];[1.0, 0.9996476147914257];[1.0, 0.999661228351482];[1.0, 0.9994823591430935];[1.0, 0.9998531369576318];[1.0, 0.999781934220067]
1.0;[0.0, 0.9999999998300342];[0.0, 0.9999999999989448];[0.0, 0.9999999999660825];[0.0, 0.9999999999642983];[0.0, 0.9999999999079952];[0.0, 0.9999999999870355];[0.0, 0.999999999960401];[0.0, 0.9999999998782865];[0.0, 0.999999999999289];[0.0, 0.9999999999964886];[1.0, 0.9999992589645481];[1.0, 0.9999995176065631];[1.0, 0.9999996888085507];[1.0, 0.999998561513851];[1.0, 0.9999983936425049];[1.0, 0.9999973451170926];[1.0, 0.9999966248797532];[1.0, 0.9999965571731656];[1.0, 0.9999964704925596];[1.0, 0.9999977866711794]
1.0;[0.0, 0.999998148458743];[0.0, 0.9999942520445382];[0.0, 0.9999969961800796];[0.0, 0.9999931246841367];[0.0, 0.9999991314325953];[0.0, 0.9999999014993692];[0.0, 0.9999939417846606];[0.0, 0.999993810500358];[0.0, 0.9999071486984807];[0.0, 0.9999994043080062];[1.0, 0.9999997939485118];[1.0, 0.9999998663131419];[1.0, 0.9999994411125203];[1.0, 0.9999993622287494];[1.0, 0.9999993903611434];[1.0, 0.9999995908634927];[1.0, 0.9999998828245019];[1.0, 0.9999994336730771];[1.0, 0.9999996718826399];[1.0, 0.999999176356415]
1.0;[0.0, 0.9999999987032808];[0.0, 0.9999999987464411];[0.0, 0.9999999989093348];[0.0, 0.9999999986859407];[0.0, 0.9999999989822346];[0.0, 0.9999999989680708];[0.0, 0.9999999990386041];[0.0, 0.9999999961565563];[0.0, 0.9999999983668326];[0.0, 0.9999999985326743];[1.0, 0.9999999981576387];[1.0, 0.9999999954543592];[1.0, 0.9999999970957634];[1.0, 0.9999999968232857];[1.0, 0.9999999998904644];[1.0, 0.9999999673754391];[1.0, 0.999999991376892];[1.0, 0.999999994376614];[1.0, 0.9999999984220652];[1.0, 0.9999999603526251]
